id,venue_id,title,event_time,event_frequency,description
kettle-river-brewing-sunday-taproom-trivia,kettle-river-brewing,Sunday Taproom Trivia,Sundays · 2–4 PM,weekly,"Weekly pub trivia hosted by Riley with prizes for top teams. First come, first served seating in a cozy taproom—arrive early."
kettle-river-brewing-sunday-brunch,kettle-river-brewing,Sunday Brunch,Sundays · Noon–2 PM,weekly,Weekly Sunday brunch with a special monthly menu and daily features. Regular menu resumes at 2 PM.
kettle-river-brewing-music-bingo,kettle-river-brewing,Music Bingo,Tuesdays · 6:30 PM,weekly,Free-to-play music bingo in partnership with Okanagan TV & Film Industry Society. All ages welcome with prizes for champions.
kelowna-bernies-supper-club-toonie-tuesday,kelowna-bernies-supper-club,Toonie Tuesday,Tuesdays · showtimes vary,weekly,Enjoy $2 off movie tickets every Tuesday with double showings. Cinema tickets must be purchased separately from dinner reservations.
kelowna-shore-line-brewing-trivia-tuesday,kelowna-shore-line-brewing,Trivia Tuesday,Tuesdays · 7–9 PM,weekly,Weekly trivia night with prizes. Free to play with purchase; reservations recommended.
kelowna-shore-line-brewing-open-mic-night,kelowna-shore-line-brewing,Open Mic Night,Wednesdays · 7:30–10 PM,weekly,"Midweek open mic featuring local performers. Free entry and a relaxed, community vibe."
kelowna-shore-line-brewing-singo-music-bingo,kelowna-shore-line-brewing,SINGO! Music Bingo,Thursdays · 7–9 PM,weekly,Music bingo night with prizes. Free to play with purchase; reservations recommended.
kelowna-gulfstream-taco-tuesday,kelowna-gulfstream,Taco Tuesday Special,Tuesdays · 5 PM–close,weekly,"Weekly Taco Tuesday featuring taco, margarita, and paloma specials. Taco plate with choice of side available, plus rotating drink deals."
kelowna-gulfstream-prime-rib-sunday,kelowna-gulfstream,Prime Rib Sunday,Sundays · evening,weekly,"Sunday prime rib special served with au jus, mashed potatoes, vegetables, and house-made Yorkshire pudding."
kelowna-oflannigans-pub-linus-2026-02-27,kelowna-oflannigans-pub,LINUS,"Friday, Feb 27 · 9:30 PM",one-off,"Live cover band playing classic rock, blues, and contemporary hits. Performing Friday & Saturday nights."
kelowna-oflannigans-pub-the-feels-2026-03-20,kelowna-oflannigans-pub,The Feels,"Friday, Mar 20 · 9:30 PM",one-off,"Okanagan cover band playing nostalgic Top 40 hits from the 80s, 90s, and today. Live Friday & Saturday."
kelowna-oflannigans-pub-mama-wheelie-2026-03-27,kelowna-oflannigans-pub,MAMA Wheelie,"Friday, Mar 27 · 9:30 PM",one-off,Local cover band bringing high-energy live music. Performing Friday & Saturday.
kelowna-oflannigans-pub-crush-xo-2026-04-24,kelowna-oflannigans-pub,CRUSH XO,"Friday, Apr 24 · 9:30 PM",one-off,Kelowna-based band playing rock from the 90s to today. Live Friday & Saturday.
kelowna-oflannigans-pub-satellite-nites-2026-05-08,kelowna-oflannigans-pub,Satellite Nites,"Friday, May 8 · 9:30 PM",one-off,Pop and classic rock cover band known for high-energy performances. Live Friday & Saturday.
kelowna-oflannigans-pub-cobra-radio-2026-09-18,kelowna-oflannigans-pub,Cobra Radio,"Friday, Sep 18 · 9:30 PM",one-off,Classic rock party cover band playing hits through the eras.
kelowna-oflannigans-pub-three-quarter-crush-2026-01-30,kelowna-oflannigans-pub,Three Quarter Crush,"Friday, Jan 30 · 9:00 PM",one-off,High-energy top party band delivering crowd-pleasing hits from the 70s to today.
kelowna-oflannigans-pub-lucky-monkey-2026-02-06,kelowna-oflannigans-pub,Lucky Monkey,"Friday, Feb 6 · 9:30 PM",one-off,Popular pop and rock band bringing a high-energy live show.
kelowna-oflannigans-pub-pound-sign-2026-02-13,kelowna-oflannigans-pub,PoundSign,"Friday, Feb 13 · 9:30 PM",one-off,"Cover band featuring rock, dance, and party favourites."
kelowna-oflannigans-pub-jeff-piattelli-trio-2026-02-21,kelowna-oflannigans-pub,Jeff Piattelli Trio,"Friday, Feb 21 · 9:00 PM",one-off,Extremely talented local musician Jeff Piattelli performing live with his trio.
kelowna-oflannigans-pub-youngguns-2026-01-23,kelowna-oflannigans-pub,Young Guns,"Friday, Jan 23 · 9:30 PM",one-off,"One of the Okanagan’s most sought-after cover bands, playing rock, funk, country, reggae, and more."
kelowna-oflannigans-pub-ufc-ppv-324,kelowna-oflannigans-pub,UFC PPV #324,"Saturday, Jan 24 · 6:00 PM",one-off,Live UFC Pay-Per-View with prelims at 4 PM. No cover.
kelowna-oflannigans-pub-ufc-ppv-325,kelowna-oflannigans-pub,UFC PPV #325,"Saturday, Jan 31 · 6:00 PM",one-off,Live UFC Pay-Per-View with prelims at 4 PM.
kelowna-oflannigans-pub-superbowl-2026,kelowna-oflannigans-pub,Super Bowl 2026,"Sunday, Feb 9 · Doors open 2:00 PM",one-off,"Watch the Super Bowl live with happy hour specials all day, games, and prizes."
kelowna-oflannigans-pub-karaoke,kelowna-oflannigans-pub,Karaoke Night,Mondays & Wednesdays · 8:30 PM,weekly,Karaoke Madness every Monday and Wednesday. Choose your song and sing like a rockstar.
kelowna-oflannigans-pub-wicked-wing-wednesdays,kelowna-oflannigans-pub,Wicked Wing Wednesdays,Wednesdays · 4 PM start,weekly,Wing special every Wednesday with wings priced at 89 cents each.
kelowna-oflannigans-pub-open-mic,kelowna-oflannigans-pub,Open Mic,Thursdays · 9 PM,weekly,Open mic night hosted by Jeff Piattelli. Bring your instruments and perform originals or covers.
kelowna-kelly-obryans-downtown-sunday-funday-dj,kelowna-kelly-obryans-downtown,Sunday Funday DJ Night,Sundays · evening,weekly,Local DJ night with free entry and free pool in the pub. Dance floor vibes all night.
kelowna-kelly-obryans-downtown-karaoke-tuesday,kelowna-kelly-obryans-downtown,Karaoke Night,Tuesdays · 8 PM,weekly,Karaoke in the pub starting at 8 PM. Happy hour follows at 9 PM.
west-kelowna-hatching-post-tremendous-trivia,west-kelowna-hatching-post,Tremendous Trivia,Mondays · 6:00 PM,weekly,Weekly trivia night with classic pub-style questions and in-house craft beers. Reservations recommended.